,name,age,marketvalue
1,"
                Marc-André ter Stegen            ",30,₹240 Cr
2,"
                Iñaki Peña            ",23,₹32 Cr
3,"
                Arnau Tenas            ",21,₹16 Cr
4,"
                Ronald Araújo            ",23,₹480 Cr
5,"
                Jules Kounde            ",24,₹480 Cr
6,"
                Andreas Christensen            ",26,₹240 Cr
7,"
                Eric García            ",22,₹144 Cr
8,"
                Alejandro Balde            ",19,₹120 Cr
9,"
                Marcos Alonso            ",32,₹72 Cr
10,"
                Jordi Alba            ",33,₹40 Cr
11,"
                Sergi Roberto            ",31,₹48 Cr
12,"
                Sergio Busquets            ",34,₹40 Cr
13,"
                Pedri             ",20,₹800 Cr
14,"
                Gavi             ",18,₹720 Cr
15,"
                Frenkie de Jong            ",25,₹400 Cr
16,"
                Franck Kessié            ",26,₹280 Cr
17,"
                Pablo Torre            ",19,₹24 Cr
18,"
                Ansu Fati            ",20,₹400 Cr
19,"
                Ferran Torres            ",22,₹280 Cr
20,"
                Ousmane Dembélé             ",25,₹480 Cr
21,"
                Raphinha            ",26,₹400 Cr
22,"
                Robert Lewandowski            ",34,₹360 Cr
